suite,method,runs,catastrophes,catastrophe_rate,catastrophe_wilson95,mean_regret,certified,certification_fraction,mean_certified_time,restricted_mean_certification_time,mean_exploration_time,true_model_eliminations,mean_unlocked,mean_cycles
binary,Oracle,2000,0,0.0,"[1.0842021724855044e-19, 0.001917047281252934]",0.0,2000,1.0,0.0,0.0,0.0,0,0.0,20000.0
binary,RobustOnly,2000,0,0.0,"[1.0842021724855044e-19, 0.001917047281252934]",16000.0,0,0.0,,20000.0,0.0,0,0.0,20000.0
binary,SafeRefine,2000,58,0.029,"[0.022500401616129873, 0.03730545692281039]",3961.7328000000007,1600,0.8,297.7825,4238.226,238.226,58,0.0,19428.877
binary,StaticSafeID,2000,58,0.029,"[0.022500401616129873, 0.03730545692281039]",3961.7328000000007,1600,0.8,297.7825,4238.226,238.226,58,0.0,19428.877
binary,UnsafeMLE,2000,1000,0.5,"[0.4781079507511692, 0.5218920492488308]",10000.0,0,0.0,,20000.0,0.0,0,0.0,10000.5
nuisance,FullModelID,500,15,0.03,"[0.018263213197913384, 0.04890366683594573]",2976.8895999999845,495,0.99,172.3030303030303,670.58,1889.022,17,1.0,48534.35
nuisance,SafeRefine,500,15,0.03,"[0.018263213197913384, 0.04890366683594573]",1632.2639999999997,495,0.99,172.3030303030303,670.58,170.79,15,1.0,48504.39
random,FullModelID,5000,165,0.033,"[0.028395990126238967, 0.0383210434904444]",1891.7379599999997,4863,0.9726,1000.8595517170471,1795.436,982.9464,165,1.9746,28367.8552
random,Oracle,5000,0,0.0,"[0.0, 0.0007677019450571244]",0.0,5000,1.0,0.0,0.0,0.0,0,0.0,30000.0
random,SafeRefine,5000,165,0.033,"[0.028395990126238967, 0.0383210434904444]",1891.7379599999997,4863,0.9726,1000.8595517170471,1795.436,982.9464,165,1.9746,28367.8552
random,StaticSafeID,5000,0,0.0,"[0.0, 0.0007677019450571244]",24034.259360000004,0,0.0,,30000.0,255.7692,127,0.0,29828.7032
recursive,Oracle,1600,0,0.0,"[2.168404344971009e-19, 0.0023951611922532253]",0.0,1600,1.0,0.0,0.0,0.0,0,0.0,30000.0
recursive,RobustOnly,1600,0,0.0,"[2.168404344971009e-19, 0.0023951611922532253]",24000.0,0,0.0,,30000.0,0.0,0,0.0,30000.0
recursive,SafeRefine,1600,52,0.0325,"[0.02486949999728803, 0.04236997571746874]",1273.934,1568,0.98,390.2066326530612,982.4025,385.8625,52,1.0,29034.7725
recursive,StaticSafeID,1600,0,0.0,"[2.168404344971009e-19, 0.0023951611922532253]",24000.0,0,0.0,,30000.0,180.42,32,0.0,30000.0
recursive,UnsafeMLE,1600,1200,0.75,"[0.7282009438222706, 0.7706014755816027]",22500.0,0,0.0,,30000.0,0.0,0,0.0,7500.75
uav,CertaintyEquivalent,500,0,0.0,"[4.336808689942018e-19, 0.007624340461552241]",0.38129434073085805,0,0.0,,20000.0,0.0,0,20.6,516.8
uav,Oracle,500,0,0.0,"[4.336808689942018e-19, 0.007624340461552241]",0.38129434073085805,500,1.0,0.0,0.0,0.0,0,0.0,516.8
uav,SafeRefine,500,0,0.0,"[4.336808689942018e-19, 0.007624340461552241]",0.38129434073085805,500,1.0,0.0,0.0,0.0,0,0.0,516.8
uav,WorstCaseRobust,500,0,0.0,"[4.336808689942018e-19, 0.007624340461552241]",0.38129434073085805,0,0.0,,20000.0,0.0,0,0.0,516.8
