device,rl_algorithm,map,timestamp,n_agents,configured_total_orders,max_active_orders,n_steps,final_timestep,train_step,eval_episode_reward,delivery_success_rate,orders_completed,total_orders,collision_count,obstacle_collision_count,agent_collision_count,eval_episode_steps,run_script,run_command,seed,eval_seed,hmappo_meta_period,high_level_n_actions,charge_action_id,high_lr_actor,high_lr_critic,high_actor_hidden_dim,high_critic_hidden_dim
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 00:46:19,4,16,8,180000,180000,150,86.87144109135261,0.0,7.1,16.0,6.6,5.5,1.1,200.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_low_pretrain_oracle.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hrl_oracle_high_level True --hmappo_freeze_high_level True --hmappo_freeze_low_level False --hrl_meta_update_on_subgoal_done False --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled False --hrl_energy_margin_loss_coef 0.0 --hrl_charge_queue_enabled False --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 123 --eval_seed 100123 --time_steps 180000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --n_steps 180000 --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed123_low --replay_dir '' ,123,100123,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 00:46:20,4,16,8,180000,180000,150,85.96119555849,0.0,7.1,16.0,7.85,6.65,1.2,200.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_low_pretrain_oracle.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hrl_oracle_high_level True --hmappo_freeze_high_level True --hmappo_freeze_low_level False --hrl_meta_update_on_subgoal_done False --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled False --hrl_energy_margin_loss_coef 0.0 --hrl_charge_queue_enabled False --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 789 --eval_seed 100789 --time_steps 180000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --n_steps 180000 --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed789_low --replay_dir '' ,789,100789,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 00:47:01,4,16,8,180000,180000,150,87.3022759364103,0.0,7.45,16.0,7.2,6.2,1.0,200.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_low_pretrain_oracle.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hrl_oracle_high_level True --hmappo_freeze_high_level True --hmappo_freeze_low_level False --hrl_meta_update_on_subgoal_done False --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled False --hrl_energy_margin_loss_coef 0.0 --hrl_charge_queue_enabled False --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 192021 --eval_seed 292021 --time_steps 180000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --n_steps 180000 --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed192021_low --replay_dir '' ,192021,292021,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 00:47:09,4,16,8,180000,180000,150,87.01528981586452,0.0,7.45,16.0,6.35,5.25,1.1,200.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_low_pretrain_oracle.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hrl_oracle_high_level True --hmappo_freeze_high_level True --hmappo_freeze_low_level False --hrl_meta_update_on_subgoal_done False --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled False --hrl_energy_margin_loss_coef 0.0 --hrl_charge_queue_enabled False --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 131415 --eval_seed 231415 --time_steps 180000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --n_steps 180000 --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed131415_low --replay_dir '' ,131415,231415,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 01:58:55,4,16,8,120000,120301,65,88.62605945946416,0.0,6.85,16.0,8.6,6.7,1.9,255.2,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_warmstart_low180k.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hmappo_freeze_low_level False --hmappo_freeze_high_level False --hrl_meta_update_on_subgoal_done False --hrl_order_progress_override 0.65 --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled True --hrl_energy_margin_reserve_ratio 0.08 --hrl_energy_margin_loss_coef 0.2 --hrl_energy_margin_charge_beta 0.2 --hrl_charge_queue_enabled True --hrl_charge_queue_radius 0.24 --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 789 --eval_seed 100789 --n_steps 120000 --time_steps 120000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --hmappo_pretrained_low_model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed789_low --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed789_high --replay_dir '' ,789,100789,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 01:59:22,4,16,8,120000,120056,64,113.20447479566792,0.0,8.35,16.0,12.3,6.05,6.25,344.8,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_warmstart_low180k.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hmappo_freeze_low_level False --hmappo_freeze_high_level False --hrl_meta_update_on_subgoal_done False --hrl_order_progress_override 0.65 --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled True --hrl_energy_margin_reserve_ratio 0.08 --hrl_energy_margin_loss_coef 0.2 --hrl_energy_margin_charge_beta 0.2 --hrl_charge_queue_enabled True --hrl_charge_queue_radius 0.24 --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 123 --eval_seed 100123 --n_steps 120000 --time_steps 120000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --hmappo_pretrained_low_model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed123_low --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed123_high --replay_dir '' ,123,100123,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 01:59:58,4,16,8,120000,120092,65,98.44995801673576,0.0,7.4,16.0,7.05,6.05,1.0,273.6,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_warmstart_low180k.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hmappo_freeze_low_level False --hmappo_freeze_high_level False --hrl_meta_update_on_subgoal_done False --hrl_order_progress_override 0.65 --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled True --hrl_energy_margin_reserve_ratio 0.08 --hrl_energy_margin_loss_coef 0.2 --hrl_energy_margin_charge_beta 0.2 --hrl_charge_queue_enabled True --hrl_charge_queue_radius 0.24 --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 192021 --eval_seed 292021 --n_steps 120000 --time_steps 120000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --hmappo_pretrained_low_model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed192021_low --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed192021_high --replay_dir '' ,192021,292021,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 02:00:04,4,16,8,120000,120063,65,103.45161948370514,0.0,7.75,16.0,11.4,6.7,4.7,306.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_warmstart_low180k.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hmappo_freeze_low_level False --hmappo_freeze_high_level False --hrl_meta_update_on_subgoal_done False --hrl_order_progress_override 0.65 --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled True --hrl_energy_margin_reserve_ratio 0.08 --hrl_energy_margin_loss_coef 0.2 --hrl_energy_margin_charge_beta 0.2 --hrl_charge_queue_enabled True --hrl_charge_queue_radius 0.24 --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 131415 --eval_seed 231415 --n_steps 120000 --time_steps 120000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --hmappo_pretrained_low_model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed131415_low --model_dir model_runs/twostage/uedl_hmappo_twostage_0709_231113_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed131415_high --replay_dir '' ,131415,231415,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 13:32:41,4,16,8,180000,180000,150,129.54176992438732,0.0,10.25,16.0,0.05,0.05,0.0,200.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_low_pretrain_oracle.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hrl_oracle_high_level True --hmappo_freeze_high_level True --hmappo_freeze_low_level False --hrl_meta_update_on_subgoal_done False --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled False --hrl_energy_margin_loss_coef 0.0 --hrl_charge_queue_enabled False --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 123 --eval_seed 100123 --time_steps 180000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --n_steps 180000 --hrl_safe_action_guard_horizon 4 --model_dir model_runs/twostage/uedl_hmappo_agentaware_0710_110035_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed123_low --replay_dir '' ,123,100123,5,2,-1,0.0003,0.0003,128,128
DESKTOP-5C28MHK_,hmappo,UAVEnergyDeliveryLevel,2026-07-10 13:39:22,4,16,8,180000,180000,150,122.33537780721672,0.0,9.9,16.0,0.35,0.25,0.1,210.0,scripts/UAVEnergyDeliveryLevel/comparisons/train_hmappo_low_pretrain_oracle.sh,.venv/bin/python main_level.py --alg hmappo --map UAVEnergyDeliveryLevel --hmappo_meta_period 5 --hrl_oracle_high_level True --hmappo_freeze_high_level True --hmappo_freeze_low_level False --hrl_meta_update_on_subgoal_done False --hrl_delivery_intrinsic_progress_bonus 0.0 --hrl_intrinsic_collision_penalty 0.8 --hrl_charge_dense_reward_scale 0.0 --hrl_energy_shield_enabled False --hrl_energy_margin_loss_coef 0.0 --hrl_charge_queue_enabled False --hrl_safe_action_guard_enabled True --hrl_safe_action_guard_margin 0.04 --experiment_device DESKTOP-5C28MHK_ --seed 192021 --eval_seed 292021 --time_steps 180000 --evaluate_cycle 5000 --evaluate_rate 5000 --evaluate_epoch 20 --evaluate_episode_len 400 --episode_limit 400 --uav_n_agents 4 --uav_total_orders 16 --uav_max_active_orders 8 --cuda True --gpu_id 0 --experiment_log_csv train_logs/DESKTOP-5C28MHK__train_log.csv --n_steps 180000 --hrl_safe_action_guard_horizon 4 --model_dir model_runs/twostage/uedl_hmappo_agentaware_0710_110035_DESKTOP-5C28MHK__hmappo_twostage_lowpretrain_seed192021_low --replay_dir '' ,192021,292021,5,2,-1,0.0003,0.0003,128,128
